tipo,area,situacao,titulo,titulares,registro,inventores,descricao,vantagens,aplicacao,observacoes
PATENTE,SAÚDE,,Biovidros Puros e Nanoestruturados,"UFTM
UFAL",BR 10 2024008956-1,"Rodrigo Cesar Rosa
Anielle C. A. Silva","A invenção trata-se do desenvolvimento de biovidros puros e nanoestruturados. Esses biovidros são compostos biocompatíveis com ou sem dopagem de metais ou não metais, utilizados em dispositivos e tratamentos na saúde humana e animal, especialmente na reparação e regeneração de tecidos. Eles impedem a adesão de microrganismos e bactérias, atuam na cicatrização tecidual inicial, são citotóxicos adequados, biocompatíveis e têm ação antimicrobiana. Suas propriedades ópticas, estruturais e morfológicas, assim como suas vantagens biológicas, foram investigadas e confirmadas.","- Ferramenta biocompatível, de baixo custo, com elevado rendimento e reprodutibilidade;
- Ao serem implantados no organismo, impede a adesão de microrganismos e bactérias, evitando a contaminação e infecção, sem interferir no processo de cicatrização, reparação e/ou regeneração tecidual.","A invenção remete ao campo técnico da biomedicina e biotecnologia, apresentando o desenvolvimento de biovidros puros e nanoestruturados, para uso em dispositivos e tratamentos nas áreas de saúde humana e animal, com possibilidades de favorecer o processo de reparação e regeneração tecidual..",
PATENTE,SAÚDE,,NOVO MÉTODO DE MICROENCAPSULAÇÃO POR GELIFICAÇÃO IÔNICA CONTENDO BIOATIVOS E NANOPARTÍCULAS/NANO COMPÓSITOS,"UFTM
UFAL",BR 10 2024 005829,"Rodrigo Rosa
(grupos de pesquisadores da UFTM e UFAL)","A presente invenção pertence ao campo biotecnológico, na área de produção de medicamentos com utilidade à saúde pública, se concentrando no campo químico-farmacêutico. São propostas microesferas de composições diversas, juntamente com o processo de obtenção, composições farmacêuticas e usos. A produção dessas microesferas está ligada à utilização de compostos bioativos diversos padronizados em conjunto de nanopartículas, seguido pela técnica de gelificação iônica, apresentando-se em forma de esferas.","- Utilização de compostos em uma matriz intermediária de revestimento de bioativos que contêm excepientes farmacêuticos inertes, atóxicos, de baixo custo, estáveis com característica reológica para sólidos farmacêuticos e de liberação gastrorresistente;
- Praticidade e abrangência populacional para o consumo do produto.",Este produto está situado e concentrado nas áreas alimentícia e farmacêutica.,
PATENTE,SAÚDE,,Nanocristais e Nanocompósitos Biocompatíveis de Simonkolleite e Óxidode Zinco Puros e Dopados Conjugados com Produtos Naturais e seu Uso como Agentes Teranósticos,"UFTM
UFAL",BR102024005705-8,"Rodrigo Rosa
(grupos de pesquisadores da UFTM e UFAL)","Trata-se de uma invenção no campo do desenvolvimento e uso de nanocristais e nanocompósitos biocompatíveis a base de simonkolleite e óxido de zinco puros e dopados conjugados com produtos naturais e seu uso como como agentes teranósticos com potencial propriedades, antimicrobianas, antitumorais, leishmanicidas e luminescentes que podem ser utilizados na forma tópica para o controle da proliferação de bactérias e protozoários.","- Atividade antimicrobiana para o tratamento de infecções e atividade antitumoral para o tratamento e diagnóstico de diversos tipos de cânceres;
- Intensificação do processo de reparação e integração tecidual;
- Podem ser associados a extrato de plantas e potencializar a sua atividade terapêutica.",Esta invenção pode ser aplicada tanto na área de odontologia e ortopedia quanto no uso de tratamentos internos e uso tópico (tratamento de feridas)..,
PATENTE,SAÚDE,,Desenvolvimento de Nanocompósitos Biocompatíveis contendo Nanocristais de Titanato de Sódio puros e dopados com Prata e Nanocristais de Óxido de Prata para diversas aplicações,"UFTM
UFAL",BR102024005101-7,"Rodrigo Rosa
(grupos de pesquisadores da UFTM e UFAL)","O desenvolvimento de novos materiais biocompatíveis e com atividade antimicrobiana é de suma importância para diversos tratamentos na área médica. Esta inovação demonstra que o nanocompósito contendo nanocristais de titanato de sódio dopado com prata/európio e nanocristais de prata apresentou elevada biocompatibilidade in vitro e in vivo, sendo mais biocompatível que os nanocristais de titanato de sódio.","- A presença da luminescência nestes nanomateriais possibilita o seu rastreamento em ensaios biológicos via microscopia de fluorescência;
- Além da biocompatibilidade e atividades antimicrobiana e antiparasitária, destaca-se a luminescência dos nanomateriais como característica adicional para sua aplicabilidade.","Os nanomateriais apresentaram atividades antimicrobianas interessantes possibilitando o seu uso tanto em humanos e animais, nos tratamentos internos e tópicos (tratamento de feridas), potencial utilização na esterilização de ambientes, dispositivos médico-odontológicos e utensílios, além de seu potencial leishmanicida aplicado puro ou agregado à fármacos.",
PATENTE,SAÚDE,,SENSORES ELETROQUÍMICOS NÃO ENZIMÁTICOS PARA DETECÇÃO DE GLICOSE EM AMOSTRAS DE SALIVA,"UFTM
FAPEMIG",BR 10 2020 012146 4,"Rogério Valentim Gelamo
Robson Tadeu Soares
Marília Alves Caetano
Gabriel de Moraes","Por meio do uso de sensores eletroquímicos em plataforma flexível de eletrodos de filme fino de cobre é possível medir os níveis de glicose através da saliva, sem a necessidade de utilização de enzimas nos sensores.","- Medição rápida, com menor limite de detecção que os sensores atuais;
- Plataforma flexível e descartável, sem necessidade de lesões ao organismo humano pois as medidas são feitas através da saliva.",Sensores de glicose para diabéticos.,POSSUI FOTO/ILUSTRAÇÃO
PATENTE,SAÚDE,,Processo de desenvolvimento e especialização de células dendríticas autólogas,"UFTM
FAPEMIG",PI 0905536-3,"Eddie Fernando C. Murta
Márcia A. Michelin","Consiste em um novo processo de maturação de células específicas do sistema imune para serem utilizadas contra todos os tipos de tumores. Para tanto, esse processo é baseado na capacidade de ativação do sistema imune do próprio paciente e em diferenciação in vitro destas células para posterior sensibilização com antígenos tumorais, também provenientes do próprio paciente, sendo as células dendríticas maduras utilizadas no combate aos tumores.","- Evita rejeição heteróloga, utilizando células do próprio paciente;
- Pode ser utilizado no tratamento de todos os tipos de tumores;
- Método alternativo aos tratamentos tradicionais que podem ser mais agressivos ao paciente.","Área da saúde, com ênfase em oncologia, destinado ao tratamento experimental de diversos tipos de câncer.",POSSUI FOTO/ILUSTRAÇÃO
PATENTE,SAÚDE,,"Instrumento de fortalecimento cervical 
",UFTM,BR 10 2021 010231-4 ,"Andréa L. P. Gasparini 
Marcos M. Shimano 
Lais O. de Almeida 
Larissa Giovanna de O. Araujo ","Instrumento específico para o treinamento da musculatura da coluna cervical visando complementar e servir como resistência para os movimentos do pescoço durante a intervenção fisioterapêutica para indivíduos com dor cervical. Para a melhora da força e redução da fatigabilidade dos músculos do pescoço é recomendado que se façam exercícios de fortalecimento geral, exercícios com cargas externas para treino de força e resistência dos músculos flexores e extensores cervicais, atividades estas conquistadas pelo instrumento cervical de fortalecimento idealizado.","- Instrumento barato para produção; 
- Fácil adaptação a diferentes pacientes; 
- Confortável durante sua utilização; 
- Permite de forma eficaz a oferta de carga progressiva individual para o fortalecimento muscular idealizado. ","Pessoas com dor cervical. 
",
PATENTE,SAÚDE,,"Pessoas com dor cervical. 
Aparelho para reabilitação sensorial com uso do som",UFTM,BR 10 2021 008565 7,"Hugo B. Oliveira
Luciane F. R. M. Fernandes","A invenção refere-se a um aparelho para reabilitação sensorial com o uso do som. O aparelho é capaz de produzir um feedback auditivo a partir das vibrações geradas pelo toque da mão sobre diferentes texturas fixadas à superfície do dispositivo. A invenção objetiva auxiliar fisioterapeutas, terapeutas ocupacionais e profissionais da saúde na reabilitação de pacientes com alterações na sensibilidade ao toque devido a lesões nervosas.","- O invento apresenta características superiores de saniticidade e robustez estrutural. Além disso, permite o contato direto da mão do usuário com a superfície do equipamento.
- Equipamento leve, portátil e de baixo custo de produção. Pode ser utilizado por vários pacientes, com uso temporário ou de curta duração.","Essa invenção possui o potencial de ser comercializada para clínicas, para hospitais e para os pacientes que possuem a sensibilidade das mãos afetada devido a lesões nervosas.",POSSUI FOTO/ILUSTRAÇÃO
PATENTE,SAÚDE,,"Método de preparo de um biossensor eletroquímico para diagnóstico rápido e específico do vírus da dengue 
","UFTM
UFU
FAPEMIG",BR 10 2018 072649 8 ,"Ana Graci B. Madurro 
Ana Paula S. Terra 
David N. Silva Teixeira 
Jussara V. da Silva ","A presente patente é sobre um método de preparação de um biossensor que utiliza técnicas eletroquímicas para diagnosticar o vírus do dengue tipo 1, com mais agilidade. O processo de identificação ocorre através de uma reação específica de um componente deste biossensor, com os anticorpos do tipo IgM, presentes no soro humano.","- Procedimento simples; 
- Baixo custo; 
- Alta sensibilidade; 
- Volume reduzido; 
- Análise em tempo real; 
- Diagnóstico rápido e específico do vírus da dengue.","Esse método pode ser aplicado na área da saúde pública, onde um diagnóstico rápido da doença pode resultar em um tratamento mais eficiente da doença. ",
PATENTE,SAÚDE,,Plataforma fixa sobre uma haste móvel para auxiliar no registro de imagens para avaliação postural por biofotogrametria,UFTM,BR 10 2019 005773-4,"Marcos M. Shimano
Suraya G. N. Shimano
Edimar de Oliveira
Fábio Masao Kawamura","Consiste de uma plataforma fixa, composta por um suporte inferior e superior, entre os quais está situado um sistema giratório capaz de girar 360o no qual está fixado a haste móvel horizontal, cujas extremidades possuem regulagem de comprimento, conectadas a duas hastes verticais reguláveis. As imagens podem ser obtidas de maneira rápida e eficaz, sem que a pessoa precise mudar de posição ou manter-se imóvel por muito tempo.","- As imagens são capturadas sempre da mesma distância aumentando a precisão nas análises;
- A pessoa não precisa se movimentar para obter imagens de outras vistas de seu corpo;
- Possui compatibilidade com dispositivos móveis;
- Baixo custo de produção.","Ramo da saúde podendo ser utilizado em clínicas de fisioterapia, academias, escolas, clubes esportivos, centros de reabilitação, unidades básicas de saúde e centros de diagnósticos por imagens e outras finalidades.",
