issn_l,citescore_analogo
1476-3141,1.67
1474-8185,2.21
1471-2172,3.12
1476-4172,1.39
1476-0711,6.68
1472-8923,0.2
1477-9226,3.46
1513-7368,1.76
1516-6600,0.22
1516-1439,1.21
1514-3465,0.17
1516-4446,0.94
1477-9072,2.06
1516-1846,0.16
1516-3725,0.73
1516-8484,0.0
1516-7313,0.4
1516-7275,1.86
1516-4896,0.14
1516-3210,0.13
1516-4136,0.34
1516-5388,0.2
1516-2168,0.3
1516-3687,0.25
1516-1684,0.05
1516-7704,0.87
1516-4381,0.36
1516-0858,0.3
1516-3083,0.04
1516-1498,0.27
1516-084X,0.36
1516-8034,0.0
1479-389X,0.39
1516-3717,0.0
1516-0939,0.62
1516-2567,0.08
1516-8182,0.19
1516-3091,0.05
1514-0105,0.13
1516-4020,0.05
1516-2664,0.17
1516-0785,0.11
1516-1579,0.1
1516-5477,0.1
1516-7356,0.0
1516-1854,0.0
1517-8382,2.36
1516-8913,1.44
1517-7491,2.22
1517-7076,1.66
1517-8692,14.4
1517-3852,0.46
1517-9702,0.5
1517-1949,0.16
1517-0276,0.0
1517-0306,0.22
1517-6398,0.83
1517-106X,0.04
1517-2473,0.22
1517-5545,0.16
1517-3151,1.65
1517-6312,0.11
1517-4689,0.02
1517-7874,0.0
1517-2430,1.63
1517-9699,0.05
1517-1256,0.18
1517-591X,0.0
1517-1000,0.19
1517-395X,0.12
1517-1108,0.02
1517-6096,0.12
1517-4492,0.1
1517-9443,0.0
1516-9375,0.0
1517-8048,0.68
1517-0241,0.07
1516-9286,0.02
1517-6770,0.0
1516-8603,0.05
1517-3941,0.14
1517-3127,0.07
1517-1914,0.0
1517-848X,0.21
1517-7947,0.5
1517-4999,0.05
1519-0501,0.61
1518-9740,0.08
1518-1634,0.54
1518-5370,0.12
1518-3483,0.1
1519-3829,0.35
1518-7853,0.65
1518-1944,0.42
1518-952X,0.21
1518-5648,0.11
1519-1125,0.24
1519-1540,0.53
1518-5192,0.07
1519-387X,0.05
1519-3322,0.12
1518-7632,0.36
1517-9869,0.06
1518-367X,0.64
1519-4183,0.08
1518-2002,0.16
1518-6369,0.18
1518-7934,0.15
1518-8795,0.44
1518-7640,0.11
1518-2886,0.09
1519-0919,0.04
1518-4684,0.06
1519-3993,0.14
1519-275X,0.07
1519-1397,0.25
1518-6911,0.11
1518-2851,0.1
1518-1243,0.05
1519-3640,0.19
1518-9325,0.25
1518-8221,0.17
1519-2512,0.0
1518-9341,0.02
1518-3408,0.0
1518-4196,0.0
1520-5207,3.49
1530-437X,4.23
1522-1946,0.95
1525-4135,2.42
1525-5050,2.68
1526-498X,3.33
1525-8610,1.98
1521-6616,2.83
1519-6984,0.88
1520-4081,2.84
1522-7235,2.91
1520-9512,2.22
1527-7941,1.39
1526-8209,2.28
1524-9557,2.15
1524-9042,1.37
1519-566X,1.86
1525-1578,2.95
1530-3667,1.66
1526-954X,1.37
1522-7952,0.64
1523-3804,6.97
1524-8380,5.69
1519-6089,0.37
1519-8928,1.26
1519-7778,0.08
1519-5902,0.27
1519-7859,0.01
1519-874X,0.44
1519-8421,0.0
1519-6569,0.03
1519-9894,0.07
1519-7611,0.17
1519-5392,0.14
1519-549X,0.18
1519-6240,0.0
1519-4906,0.58
1519-5287,0.17
1519-4507,0.0
1519-955X,0.25
1556-5068,0.2
1552-5260,2.04
1539-3755,0.0
1533-4880,0.0
1547-5271,1.2
1536-1276,9.31
1552-4825,1.37
1553-7366,5.24
1545-5009,1.46
1549-9618,5.29
1550-7289,0.81
1537-744X,3.53
1549-9596,5.11
1556-7036,2.36
1555-9475,1.53
1554-8929,3.65
1552-5430,0.18
1548-0992,2.21
1541-6933,2.53
1532-0456,3.15
1551-7144,1.74
1556-679X,0.0
1543-3080,1.97
1555-0265,2.83
1550-7033,0.73
1536-7290,3.0
1550-8943,4.17
1532-2998,3.16
1549-5418,0.0
1536-2310,2.53
1541-1389,0.15
1538-9472,0.79
1550-0594,1.67
1556-3707,0.3
1553-3840,1.33
1536-1365,2.28
1539-4492,1.41
1543-8627,1.54
1543-3633,0.67
1550-8579,0.0
1572-6657,4.25
1567-5769,5.87
1568-4946,6.24
1590-1874,2.03
1559-047X,0.54
1572-1000,1.93
1579-1726,1.1
1567-1348,2.61
1594-0667,5.74
1566-0702,2.57
1591-8890,5.24
1569-9048,1.64
1567-5394,4.1
1568-0118,1.97
1560-8530,2.6
1600-4469,5.23
1559-2723,2.42
1558-9447,1.53
1568-1637,16.24
1558-7673,2.48
1573-3882,3.37
1598-9992,1.15
1558-7878,1.66
1573-3149,2.24
1559-8276,2.01
1572-5995,3.81
1570-162X,1.0
1569-5794,1.74
1557-1858,3.03
1571-5744,0.96
1573-6105,4.44
1571-5124,2.2
1571-4675,0.0
1574-8928,1.74
1577-0354,0.0
1568-0142,2.14
1560-4292,13.55
1578-665X,5.46
1560-909X,0.24
1569-1861,1.82
1660-4601,3.47
1664-3224,5.35
1664-302X,5.4
1600-5368,0.0
1664-462X,5.43
1663-9812,4.97
1664-2295,2.96
1664-042X,3.89
1664-8021,2.84
1662-5161,3.43
1660-8151,1.73
1612-1872,2.93
1663-4365,4.71
1613-4125,3.61
1662-5153,3.47
1663-2818,2.91
1615-7591,4.61
1661-8556,3.48
1646-2890,0.14
1616-5047,1.57
1610-3653,30.97
1640-5544,3.03
1614-2942,2.12
1609-0985,2.37
1657-5830,0.0
1657-9267,0.49
1642-431X,2.36
1643-8876,0.99
1645-0523,0.39
1662-680X,0.57
1660-2129,0.0
1645-0086,0.65
1651-3835,0.69
1657-5997,0.81
1646-107X,0.0
1659-0104,0.28
1646-9895,1.4
1647-2160,0.15
1643-8698,0.0
1612-7617,1.0
1676-5680,0.04
1674-1137,2.53
1676-546X,0.35
1674-2001,3.65
1672-1977,4.11
1676-4285,0.23
1677-3861,0.21
1676-3041,0.2
1674-9782,7.41
1676-2584,0.1
1677-5090,0.13
1676-2592,0.24
1676-2444,0.0
1676-188X,0.17
1676-1901,0.38
1677-1303,0.2
1677-1028,0.09
1676-8329,0.72
1676-689X,1.0
1676-5435,0.21
1677-1168,0.06
1677-2334,0.22
1676-9732,0.42
1676-8019,0.09
1676-1871,0.1
1676-1030,0.52
1676-3793,0.14
1676-5443,0.13
1676-8485,0.41
1666-485X,0.08
1676-1995,0.34
1676-3939,0.43
1677-0471,0.0
1676-8868,0.49
1665-2436,0.33
1676-2649,0.0
1677-0234,0.1
1677-2970,0.0
1676-0727,0.08
1676-1669,0.1
1678-5878,2.94
1677-5538,3.2
1678-0345,0.13
1679-4974,0.28
1678-7757,2.59
1678-6343,0.21
1679-4508,0.88
1679-3749,0.05
1677-5449,0.72
1679-6225,1.71
1678-7544,0.83
1678-5428,0.15
1678-9180,1.98
1678-4855,0.14
1678-2410,0.32
1678-5622,0.12
1678-6602,0.05
1679-4435,0.57
1677-8510,0.15
1678-765X,0.82
1679-2009,0.13
1679-2300,0.46
1678-166X,0.21
1677-6097,0.12
1679-4605,0.01
1679-348X,0.01
1679-5679,0.12
1679-3404,0.05
1678-698X,0.0
1679-3390,0.0
1677-9061,0.0
1677-9770,0.08
1678-8346,0.07
1679-7388,0.0
1679-1983,0.33
1677-9762,0.13
1679-4311,0.0
1677-7298,0.33
1677-7883,0.0
1679-6101,0.0
1696-8352,0.19
1735-1472,4.24
1701-2163,1.0
1687-8132,3.08
1699-048X,2.54
1687-9686,2.15
1710-3568,1.39
1734-1140,4.05
1715-5312,2.79
1698-4447,2.21
1687-966X,2.12
1687-9627,0.58
1735-3572,1.0
1687-5443,1.95
1726-4634,1.02
1679-9275,0.62
1695-6141,1.0
1692-715X,4.23
1710-1484,3.03
1679-9283,0.48
1679-7817,1.03
1687-157X,2.74
1680-743X,1.31
1696-7348,0.0
1679-768X,0.09
1732-3991,1.15
1740-2522,0.0
1679-9291,0.35
1679-7930,0.0
1687-9589,1.1
1687-5982,0.72
1679-8740,0.05
1688-4094,0.79
1728-869X,3.28
1679-8171,6.05
1726-037X,0.0
1726-3255,0.33
1688-7026,0.38
1688-2873,0.0
1688-535X,0.0
1742-6588,0.5
1741-427X,1.43
1748-0221,1.43
1745-6215,2.28
1756-0500,1.85
1746-8094,4.92
1752-1947,0.98
1745-2473,11.25
1751-6161,4.09
1748-670X,0.0
1742-5662,4.0
1742-4801,2.34
1755-4535,2.43
1752-8054,4.74
1751-7915,6.84
1748-6041,4.06
1744-3121,1.11
1746-0913,3.08
1746-1596,3.76
1750-743X,2.35
1748-3107,1.8
1752-0363,2.09
1742-7967,0.33
1741-1645,0.41
1744-3881,3.24
1741-038X,9.82
1741-0541,1.25
1752-458X,2.82
1750-9378,2.93
1755-7682,0.0
1751-7575,4.97
1746-4358,3.39
1746-0689,1.43
1744-6961,0.68
1746-160X,3.44
1742-3953,1.09
1740-8822,0.5
1750-6166,4.11
1755-2540,0.55
1749-7728,4.09
1792-1074,2.11
1759-9660,2.72
1756-3305,3.91
1792-8036,2.51
1806-3845,0.07
1806-3713,1.26
1756-8919,3.4
1806-6054,0.01
1806-1117,0.44
1758-2229,3.35
1806-1222,0.16
1806-3365,0.15
1758-1869,1.48
1759-7269,2.95
1806-2636,0.38
1806-2563,0.58
1806-6356,0.1
1757-4749,5.24
1806-6755,0.3
1806-6976,0.2
1806-0013,0.0
1807-0221,0.08
1794-4724,0.25
1806-6720,0.86
1806-3993,0.08
1757-9597,1.44
1806-8405,0.56
1807-1821,0.15
1806-5104,0.39
1806-4906,0.12
1803-4136,0.07
1807-1325,0.19
1806-2695,0.12
1806-1362,0.17
1806-2490,0.03
1807-1295,0.04
1806-9495,0.0
1806-5627,0.11
1806-6062,0.0
1806-9509,0.0
1807-5932,1.89
1809-127X,0.49
1808-8686,1.39
1809-0583,0.12
1808-2793,0.3
1807-5053,0.38
1807-5509,0.06
1808-1851,0.14
1809-0044,0.19
1808-270X,0.23
1808-3781,0.15
1807-2194,0.08
1809-0249,0.28
1808-0448,0.0
1808-2386,0.74
1807-3859,0.04
1807-6971,0.02
1808-9569,0.26
1808-6136,0.08
1808-6578,0.11
1808-5385,0.04
1807-989X,0.03
1808-4524,0.8
1808-6195,0.11
1808-8023,0.43
1808-1355,0.03
1809-0761,0.16
1808-0251,0.0
1809-1636,0.44
1809-0257,0.52
1807-7307,0.2
1807-8214,0.03
1807-8338,0.16
1808-6020,0.0
1808-8058,0.21
1808-6764,0.18
1807-9652,0.08
1808-7914,0.0
1808-2327,0.0
1808-2653,0.07
1865-0929,0.59
1866-6280,4.07
1836-0939,1.57
1835-2693,0.63
1863-2653,2.53
1809-6107,1.64
1867-1306,4.43
1809-4864,1.22
1809-9475,0.28
1824-7490,1.0
1865-1372,2.1
1867-1616,1.44
1866-9956,6.6
1809-9823,0.67
1844-4172,0.94
1809-2950,0.19
1864-5909,3.73
1809-5909,0.48
1809-4031,0.49
1842-077X,0.18
1809-6077,0.12
1809-3876,0.33
1809-5208,0.36
1809-5844,0.07
1809-6271,0.15
1809-7286,0.19
1809-3957,0.16
1809-8215,0.33
1809-614X,0.3
1809-6867,0.0
1852-9488,0.27
1809-9939,1.22
1855-7171,0.41
1817-4221,0.17
1809-4635,0.02
1809-3760,0.14
1850-9959,0.68
1809-5585,0.0
1809-1768,0.0
1809-5747,0.0
1932-6203,3.18
1932-7447,3.78
1877-0428,0.0
1878-8750,2.2
1876-6102,0.0
1876-7605,2.69
1877-0657,1.87
1929-0748,1.49
1871-6784,1.65
1871-1413,1.99
1916-9752,0.4
1878-8181,5.05
1873-5061,0.71
1872-9312,1.22
1871-403X,1.46
1913-9020,0.68
1878-786X,0.01
1916-9736,0.48
1877-959X,2.76
1868-7075,5.26
1925-4040,0.32
1878-6146,2.66
1876-7583,2.55
1870-0462,0.44
1867-2477,2.22
1876-7931,1.71
1871-1502,2.48
1876-2883,2.18
1886-6581,2.28
1887-4606,0.15
1885-8643,0.64
1888-7546,0.17
1874-7876,1.22
1874-4346,1.66
1885-5709,0.29
1875-399X,1.5
1872-2148,0.0
1874-3579,0.0
1874-8384,0.0
1874-0790,0.0
1944-8244,8.44
1940-087X,0.35
1944-3986,8.37
1948-7185,4.68
1935-2727,3.79
1934-1482,0.75
1942-0994,1.08
1932-8486,1.91
1935-5130,5.51
1933-7191,3.07
1936-9751,2.53
1944-7442,2.22
1939-4551,3.34
1972-2680,1.61
1949-2448,0.56
1949-0976,16.16
1941-6628,2.06
1948-5182,2.55
1939-1234,3.7
1935-9772,3.24
1958-9212,0.18
1980-0118,0.21
1939-795X,1.25
1976-1457,2.07
1934-2659,0.91
1939-7038,5.92
1980-055X,0.53
1944-3277,0.0
1980-1726,0.25
1939-0211,3.53
1941-1243,1.13
1936-6582,3.25
1936-3761,2.05
1943-863X,0.18
1934-5259,0.34
1980-0584,0.1
1980-1165,0.14
1935-9756,1.72
1980-0002,0.46
1942-0986,0.0
1981-223X,0.18
1981-982X,0.86
1981-8963,0.64
1981-1179,0.15
1981-0695,0.0
1980-9735,0.1
1981-0997,2.03
1981-6278,0.41
1980-993X,0.71
1981-8203,0.41
1980-5764,1.9
1980-5799,0.11
1981-8068,0.11
1981-9951,0.22
1980-2552,0.03
1980-9026,0.0
1981-9269,0.01
1981-4526,0.01
1980-4016,0.06
1981-1322,0.29
1981-7061,0.39
1980-7694,0.16
1981-1659,0.75
1980-5128,0.09
1980-4466,0.08
1980-3540,0.03
1980-3141,0.33
1981-3686,0.14
1980-5586,0.38
1980-9700,0.07
1980-6469,0.08
1981-2434,0.05
1981-5921,0.1
1981-0601,0.0
1980-8879,0.06
1981-9145,0.04
1981-9900,0.0
1981-8858,0.0
1981-5603,0.0
1980-1793,0.0
1982-1263,0.23
1982-5587,0.23
1982-7199,0.25
1982-131X,0.26
1983-1870,0.12
1983-0408,0.55
1982-7679,3.05
1982-3053,0.01
1982-1921,0.03
1982-8470,0.48
1982-1956,0.28
1983-1579,0.15
1983-0572,0.58
1983-3695,0.83
1983-3652,1.19
1982-2596,0.42
1982-3932,0.0
1982-873X,0.2
1982-1247,0.64
1983-0246,0.23
1982-5374,0.07
1982-8632,0.2
1982-3916,0.07
1982-1867,0.11
1982-7652,0.15
1982-5153,0.14
1983-3482,0.0
1982-4238,0.0
1982-6273,0.0
1982-7490,0.0
1982-3878,0.05
1982-2103,0.04
1982-792X,0.0
1983-053X,0.0
1982-2111,0.06
1982-8608,0.02
1983-3253,0.0
1982-5498,0.03
1982-3282,0.2
1982-4920,0.0
1984-2295,0.46
1983-8034,0.17
1983-5175,0.22
1984-3011,0.15
1983-8018,0.04
1983-6597,0.22
1983-9391,0.08
1983-4195,0.64
1984-5510,0.1
1984-2279,0.0
1983-9928,0.16
1984-4247,0.04
1984-428X,0.23
1983-4675,0.15
1983-4535,0.24
1984-0292,0.2
1984-4301,0.08
1984-3755,0.07
1984-252X,0.0
1983-7011,0.17
1984-6428,0.75
1983-6325,0.0
1984-2147,0.0
1983-9472,0.09
1983-4713,0.2
1984-3801,31.0
1983-4373,0.01
1984-3178,0.11
1984-1655,0.12
1983-3873,0.05
1983-8220,0.0
1984-1736,0.0
1984-3534,0.0
1984-4891,0.05
1983-5590,0.09
1984-4298,0.0
1983-8409,0.0
1983-442X,0.0
1983-6422,0.1
1983-6791,0.05
2041-1723,17.19
1996-1073,4.89
1996-1944,4.51
1999-4915,4.31
1999-4907,3.52
1999-4923,7.4
1988-7833,0.13
2042-8812,0.61
1989-4155,0.24
1988-5245,0.11
1996-0875,42.56
1989-5488,1.46
1984-8250,0.83
1984-6835,0.13
1988-5202,2.03
2039-439X,3.83
2043-0116,0.0
2036-7473,2.99
1984-9648,0.87
1984-6657,0.15
2036-3176,5.49
2011-2173,0.62
2039-4705,6.1
1984-9540,0.13
1984-7246,0.12
1984-6436,0.08
2008-000X,3.23
2035-9969,1.0
1984-6487,0.14
1989-6239,0.49
2027-4297,0.4
2036-9913,0.28
1991-7740,0.6
1984-817X,0.0
1984-879X,0.0
2036-7457,0.85
2011-8643,0.0
1984-9915,0.12
1984-7505,0.27
1984-8625,0.0
2045-2322,4.98
2071-1050,5.45
2046-2069,7.14
2044-6055,2.49
2072-6643,6.06
2072-6694,5.05
2073-4360,7.21
2073-4395,4.93
2045-7758,2.52
2053-1591,2.85
2073-4425,3.31
2072-666X,4.14
2073-4344,5.08
2049-0801,1.87
2072-6651,4.45
2054-5703,3.91
2075-1702,3.5
2050-7283,4.13
2048-8505,3.94
2050-7038,3.11
2047-2919,2.62
2052-1847,2.92
2053-3624,2.52
2050-2974,3.75
2057-5858,3.36
2046-2441,4.33
2047-7473,1.32
2055-0928,2.86
2048-6790,2.07
2054-3581,1.71
2056-9920,3.05
2047-7724,3.11
2050-0513,3.48
2055-2173,1.08
2049-4637,2.11
2070-2620,0.94
2056-5909,4.57
2058-3702,0.0
2053-8871,0.0
2049-9752,0.0
2076-3417,3.88
2077-0383,3.66
2076-2615,3.2
2079-4991,6.38
2075-4418,3.75
2076-2607,4.97
2077-0472,4.79
2076-3921,8.71
2076-393X,4.24
2079-6382,6.09
2079-7737,3.51
2079-4983,5.45
2076-0817,4.03
2075-4426,4.74
2076-328X,3.8
2090-9063,3.06
2079-6374,7.3
2075-4442,4.21
2075-4663,3.24
2079-9721,3.77
2090-6684,0.22
2075-4434,2.63
2090-6625,0.27
2093-3665,1.24
2096-5451,2.37
2090-0708,2.57
2090-0724,3.52
2075-6461,0.17
2077-9917,1.19
2084-8404,1.14
2090-214X,1.28
2090-6641,0.39
2090-2247,2.28
2090-1240,1.21
2090-0007,0.82
2090-2867,5.25
2090-5661,0.0
2090-4436,0.0
2075-8693,0.0
2090-5122,0.0
2168-8184,1.11
2169-3536,6.1
2167-8359,3.38
2168-0485,7.53
2158-3226,2.42
2169-7574,1.18
2162-2337,4.57
2169-8287,0.0
2152-7806,1.0
2168-6777,3.68
2166-2746,2.08
2172-038X,0.38
2151-4755,1.11
2152-4041,5.17
2150-1351,0.91
2157-944X,0.58
2174-2049,0.0
2156-8553,0.65
2155-9597,0.0
2153-2249,0.84
2162-5336,0.51
2156-8251,1.53
2165-3402,0.57
2162-1918,5.83
2161-783X,3.72
2161-3311,8.3
2161-623X,2.47
2157-7099,0.0
2151-1950,0.88
2153-7658,0.78
2148-9955,2.1
2147-7612,0.48
2160-5831,0.49
2159-5828,0.0
2175-0858,0.35
2145-4981,0.15
2164-0629,2.71
2164-2540,0.0
2174-7210,0.39
2173-1276,0.07
2177-2789,0.17
2177-4285,0.29
2177-3246,0.04
2175-3946,0.18
2175-6600,0.13
2177-4080,0.0
2175-7275,0.2
2176-5472,0.0
2177-157X,0.21
2176-4573,0.31
2176-9079,0.43
2177-6164,0.0
2176-1515,0.32
2177-5184,0.8
2177-7691,0.06
2175-3180,0.0
2175-3369,0.63
2176-9036,0.18
2175-7429,0.12
2176-2708,0.01
2176-171X,0.17
2177-093X,0.26
2175-1609,0.14
2177-2770,0.0
2176-1477,0.17
2177-6172,0.0
2176-6649,0.15
2177-3548,0.08
2176-2171,0.21
2176-5782,0.03
2177-4919,0.03
2175-5027,0.5
2176-9559,0.22
2176-7955,0.29
2175-6805,0.0
2177-6830,0.0
2177-4218,0.0
2175-4217,0.0
2175-6015,0.85
2176-4867,0.0
2190-3018,0.33
2178-2091,0.2
2178-6925,0.6
2178-9010,0.51
2190-4286,3.89
2178-7514,0.14
2179-426X,0.06
2179-7692,0.54
2184-7770,0.51
2179-6750,0.07
2178-7468,0.18
2177-8310,0.49
2178-5198,0.19
2178-227X,0.51
2178-180X,0.0
2178-843X,0.01
2178-5880,0.01
2179-2534,0.04
2178-1842,0.14
2178-7638,0.13
2179-8435,0.07
2178-2911,0.06
2179-4510,0.07
2179-4200,0.28
2178-1176,0.07
2178-6054,0.01
2179-5746,0.0
2178-7867,0.0
2178-9770,0.02
2178-0463,0.22
2179-1465,0.12
2179-2321,0.0
2179-7501,0.13
2178-258X,0.0
2179-1902,0.0
2179-5320,0.0
2178-4957,0.0
2177-823X,0.03
2179-6742,0.0
2184-982X,0.0
2194-5357,0.77
2213-2929,5.9
2214-0697,7.49
2212-8271,1.69
2212-4403,0.51
2190-5444,2.99
2211-0984,0.34
2214-7144,7.36
2193-6331,0.08
2212-4292,5.73
2190-6815,5.8
2218-1989,4.18
2211-0348,2.37
2211-9264,4.69
2192-5682,2.37
2210-7789,0.93
2215-0161,4.09
2211-8160,7.37
2211-7156,5.13
2211-3355,2.64
2190-5509,2.34
2191-1630,4.21
2212-1099,0.67
2190-5991,7.14
2212-8778,6.84
2191-0855,4.01
2191-1363,2.82
2212-6864,7.87
2193-6315,0.86
2210-5395,2.83
2214-4269,1.24
2195-3880,1.63
2215-017X,7.27
2213-7114,0.67
2216-0973,1.27
2210-4410,4.44
2216-0159,0.36
2214-854X,1.24
2196-3045,2.61
2212-8263,0.0
2234-943X,2.6
2223-7747,4.89
2227-9717,3.67
2227-9059,4.93
2227-9032,3.39
2218-273X,6.23
2235-2988,4.57
2227-9067,2.7
2224-4131,0.05
2231-3354,3.72
2218-1997,2.45
2224-5820,2.81
2227-9040,5.56
2222-1700,0.06
2231-7546,1.44
2224-4336,1.43
2218-6581,3.87
2231-0894,0.49
2218-4333,2.33
2236-6814,0.08
2236-1170,0.09
2236-1960,1.23
2236-2983,0.22
2236-918X,0.32
2236-6091,0.17
2236-5184,0.0
2231-1866,1.19
2236-532X,0.16
2236-3785,0.0
2236-1987,0.43
2236-3904,0.41
2218-7332,0.47
2236-9600,0.09
2236-3637,0.16
2236-6407,0.24
2236-1367,0.34
2236-7268,0.0
2236-4315,0.07
2236-1103,0.0
2236-885X,0.0
2237-9363,0.04
2238-8753,0.38
2238-8869,0.32
2238-913X,0.34
2238-7234,0.44
2238-8346,0.2
2238-2704,0.16
2238-6270,0.03
2238-6084,0.04
2238-3360,0.15
2238-8079,0.12
2237-4558,0.14
2237-6321,0.08
2237-1508,0.11
2237-3667,0.19
2237-5864,0.1
2237-6984,0.03
2238-1031,0.0
2237-1427,1.26
2238-0205,0.0
2238-0345,0.15
2237-4450,0.2
2238-832X,0.12
2237-4957,0.03
2238-0000,0.13
2238-9709,0.02
2237-1095,0.19
2238-717X,0.12
2237-261X,0.24
2237-4329,0.12
2238-8893,0.08
2238-7587,0.0
2238-9636,0.19
2237-7417,0.0
2237-9436,0.57
2237-8332,0.0
2237-4574,0.03
2238-4502,0.0
2238-3948,0.0
2237-6917,0.0
2261-236X,0.82
2296-2565,3.48
2304-8158,6.85
2297-055X,2.35
2296-2360,1.8
2305-5839,5.4
2287-8572,2.34
2311-7524,3.75
2296-875X,1.47
2309-608X,4.24
2296-889X,4.24
2306-7381,2.09
2255-4971,0.0
2311-5637,5.24
2314-7156,2.7
2278-487X,0.65
2313-7673,4.59
2308-3425,2.4
2311-5521,2.68
2254-7630,0.14
2296-6846,0.15
2278-3008,23.89
2291-2789,1.41
2288-5919,1.96
2288-176X,1.6
2255-534X,0.71
2279-7254,3.46
2255-5536,0.0
2316-333X,0.05
2277-6214,0.38
2255-5021,0.0
2316-347X,0.1
2313-8971,0.52
2255-4823,0.0
2302-1616,0.13
2316-5197,0.01
2248-4418,0.22
2255-4963,0.0
2316-1442,0.18
2314-5706,0.0
2318-3349,0.0
2317-3009,0.16
2317-1782,0.44
2317-4692,1.09
2316-9281,0.53
2317-434X,0.13
2316-9907,0.74
2317-3076,0.29
2317-269X,0.14
2317-1537,1.38
2316-9230,0.21
2316-8498,0.18
2318-1419,0.13
2317-3394,0.33
2317-2932,0.04
2317-1154,0.32
2317-0956,0.02
2317-8582,0.08
2317-8507,0.48
2318-0811,0.13
2317-9430,0.09
2317-2460,0.23
2316-9834,0.98
2317-4609,0.31
2316-8544,0.04
2317-563X,0.11
2317-3688,0.0
2318-3780,0.22
2316-7580,0.0
2317-8825,0.23
2316-9451,0.04
2317-7136,0.0
2318-4051,0.11
2317-0751,0.0
2316-8765,1.0
2317-3092,0.2
2317-028X,0.1
2318-1494,0.01
2317-1006,0.0
2317-6628,0.25
2331-8422,0.18
2319-7692,3.56
2327-6983,1.75
2350-0530,0.24
2349-6495,0.41
2321-3558,3.17
2318-7670,0.51
2319-0612,0.26
2318-8472,0.05
2318-8219,0.1
2325-7075,0.08
2325-1026,3.87
2325-9574,1.39
2318-6674,0.68
2327-7033,2.01
2318-8413,0.15
2318-8790,0.19
2318-4965,0.43
2318-5090,0.09
2332-8940,3.65
2325-0984,1.67
2323-5233,0.33
2347-520X,0.09
2318-8960,0.1
2346-3775,0.83
2318-8855,0.0
2318-9584,0.18
2325-4394,1.82
2318-9851,0.21
2318-5694,0.48
2344-9195,0.05
2318-8111,0.0
2318-6186,0.0
2346-920X,0.09
2318-9568,0.0
2328-2223,0.0
2322-9411,0.0
2329-3268,0.95
2332-2799,0.0
2333-6706,5.4
2352-152X,10.26
2352-4928,4.38
2352-3409,2.61
2351-9789,0.0
2358-2472,0.18
2359-0793,0.04
2352-9385,2.87
2358-8306,0.04
2352-507X,8.67
2352-2143,3.16
2358-8853,0.11
2358-7490,0.19
2358-0844,0.17
2358-6303,0.43
2358-5587,0.19
2359-0769,0.2
2357-9730,0.0
2359-0424,0.09
2358-1883,1.53
2357-8181,0.31
2358-0828,0.0
2359-0106,0.22
2358-8845,0.17
2359-0580,0.0
2358-6125,0.05
2358-2391,0.37
2358-5390,0.27
2357-9617,0.33
2358-7504,0.09
2358-2499,0.1
2359-1064,0.0
2357-724X,0.15
2358-4122,0.13
2357-8556,0.27
2358-2286,0.13
2358-3401,0.15
2358-4610,0.05
2358-3568,0.0
2358-0089,0.0
2358-1271,0.0
2367-3370,0.55
2366-2557,0.35
2399-5300,0.23
2365-6549,2.38
2399-3642,6.23
2375-1916,0.46
2373-8227,4.56
2399-3669,6.03
2369-2960,4.86
2359-1552,0.15
2359-3997,1.84
2359-5787,0.13
2364-0626,0.06
2373-6437,0.34
2359-6856,0.25
2374-6939,0.23
2359-4330,0.29
2373-6410,0.11
2359-1412,0.03
2381-8107,0.92
2359-6910,0.01
2373-437X,0.5
2365-421X,3.87
2369-2529,2.42
2363-8907,2.15
2359-4799,0.23
2359-3466,0.09
2359-6902,0.08
2359-6082,0.4
2359-2087,0.0
2399-3421,1.65
2359-2370,0.0
2359-4489,0.36
2382-4018,0.52
2359-3482,0.0
2395-4205,0.44
2367-1890,0.64
2359-4748,0.1
2359-2710,0.0
2381-8891,0.0
2405-8440,8.94
2448-0959,0.05
2405-4577,1.03
2447-0961,0.17
2448-0916,0.06
2411-2933,0.1
2414-6366,3.18
2411-5142,2.45
2447-2034,0.4
2446-6220,0.0
2399-6528,1.36
2446-4813,0.33
2447-8938,0.1
2446-922X,0.26
2405-6030,0.7
2447-5580,0.19
2447-536X,1.0
2447-0783,0.25
2414-6641,0.47
2447-2689,0.81
2446-9424,1.04
2447-3529,0.62
2447-1267,0.04
2447-617X,0.04
2447-3405,0.11
2446-4821,1.85
2446-5992,0.08
2411-1783,0.09
2447-6293,0.0
2446-7901,0.44
2447-7117,0.0
2447-6099,0.19
2447-8156,0.17
2448-2803,0.0
2447-3944,0.0
2447-4606,0.05
2447-4924,0.0
2410-4701,0.92
2447-6447,0.18
2448-2978,0.0
2469-9950,3.81
2470-1343,4.74
2525-3409,0.35
2470-0045,2.56
2472-1972,0.54
2468-0230,3.96
2475-9953,2.95
2523-8973,0.31
2516-8290,1.64
2451-9103,5.34
2525-5215,0.44
2516-3507,1.28
2522-5731,4.19
2452-2198,3.44
2471-5638,1.66
2525-4863,0.15
2525-426X,0.06
2522-5790,0.67
2509-5579,0.48
2508-4887,0.1
2475-0360,3.01
2448-6302,0.05
2525-6904,0.0
2525-507X,0.35
2516-2330,0.0
2469-5718,0.04
2525-5444,0.17
2525-703X,0.08
2504-3137,1.39
2520-8454,1.12
2515-2270,3.44
2525-376X,0.11
