issn_l,citescore_analogo
0073-4721,1.2
0073-4705,1.44
0099-5355,20.16
0099-2399,3.46
0100-204X,0.64
0100-4042,0.33
0100-879X,1.94
0101-2061,0.8
0100-0683,2.95
0100-7203,1.86
0100-736X,0.78
0100-6991,0.53
0100-3984,0.83
0100-5502,0.45
0100-8307,0.24
0100-6916,1.28
0100-8358,0.0
0100-0233,0.28
0100-8404,1.9
0101-3173,0.61
0101-2800,0.67
0100-0888,0.05
0100-5405,0.06
0100-4670,0.7
0101-3289,0.32
0100-316X,1.17
0101-2657,0.09
0101-4714,0.04
0101-3335,0.04
0100-7912,0.06
0101-4846,0.15
0101-708X,0.32
0100-3283,0.16
0101-7004,0.23
0101-5001,0.0
0101-1812,0.11
0100-7254,0.08
0101-465X,0.16
0101-4838,0.0
0100-0039,0.0
0100-3674,0.38
0100-7467,0.0
0102-311X,1.56
0102-0935,0.54
0101-8205,2.37
0102-0536,1.03
0102-3616,0.37
0102-3306,1.1
0101-9759,0.48
0102-3772,0.24
0101-7330,0.87
0102-4698,0.61
0102-5716,0.18
0102-6720,1.17
0101-9031,0.16
0102-4450,0.27
0102-6801,0.1
0102-0188,0.16
0102-4809,0.09
0102-5473,0.11
0101-7136,0.34
0102-4175,0.07
0101-9074,0.11
0101-7659,0.0
0101-7438,0.81
0102-3098,0.62
0102-4582,0.26
0102-5430,0.17
0102-6712,0.97
0101-8841,0.01
0102-5767,0.38
0102-2717,0.18
0101-9880,0.0
0102-3527,0.02
0102-3586,0.0
0102-4442,0.03
0101-8108,0.0
0102-0811,0.76
0102-6437,0.02
0102-3888,0.08
0101-8701,0.12
0102-1222,0.1
0103-5053,0.83
0103-3948,0.33
0102-7638,1.25
0103-2100,0.63
0102-8650,1.47
0102-6933,0.62
0103-1104,0.76
0103-4014,0.98
0103-0582,1.36
0102-7972,2.73
0102-7182,0.17
0103-166X,0.53
0103-1570,0.53
0103-507X,0.0
0103-4065,0.02
0103-2003,0.86
0103-5150,0.45
0103-5118,0.03
0103-1643,0.0
0103-4111,0.16
0103-1716,0.08
0102-9169,0.02
0102-8030,0.97
0103-3638,0.14
0103-4499,0.16
0103-1813,0.36
0103-4332,0.03
0102-7735,0.06
0102-8758,0.09
0103-183X,0.0
0103-1538,0.16
0103-2178,0.06
0102-7077,0.13
0102-8308,0.18
0103-3123,0.66
0102-8464,0.14
0103-0620,0.0
0103-1090,0.22
0103-0825,0.18
0103-409X,0.0
0103-8478,0.62
0104-1169,0.73
0103-9733,2.51
0104-0707,0.61
0103-9016,1.25
0104-1290,0.65
0104-026X,0.37
0103-9954,0.9
0103-5355,0.35
0103-6440,1.86
0103-7331,0.62
0104-1428,1.25
0103-846X,1.35
0104-0014,1.11
0103-7013,0.18
0104-1282,0.84
0103-7307,0.16
0103-6564,0.39
0103-6513,1.68
0103-863X,0.68
0103-636X,0.49
0104-0588,0.19
0104-1010,0.0
0103-6122,0.22
0103-7706,0.12
0104-0618,0.61
0104-236X,0.13
0103-5371,0.14
0104-3293,0.23
0104-1037,0.05
0103-8842,0.07
0104-1886,0.01
0103-815X,0.02
0104-2777,0.07
0103-5665,0.0
0104-0405,0.07
0103-8699,0.1
0103-8486,0.24
0104-3064,0.0
