id,nome,works,x,y,grau,betw,comunidade,grupo,topico
f|marcos|silva,Marcos Silva,178,0.1444,0.208,443,0.0771,1,Epidemiology,Trypanosoma species research and implications
i|f|carolina ribeiro dias,Fernanda Carolina Ribeiro Dias,40,-0.3113,0.6562,18,0.0,11,Reproductive Medicine,Sperm and Testicular Function
f|joilson|meneguci,Joilson Meneguci,61,-0.2007,0.2481,114,0.0627,7,Physiology,Physical Activity and Health
i|a|da silva santos,Álvaro da Silva Santos,109,-0.3903,0.0191,82,0.026,5,General Health Professions,"Health, Nursing, Elderly Care"
i|s|aparecida de lima pereira,Sanívia Aparecida de Lima Pereira,41,0.409,0.1389,67,0.0,1,Epidemiology,Trypanosoma species research and implications
f|virmondes|rodrigues,Virmondes Rodrigues,218,0.1524,0.2453,452,0.0361,1,Epidemiology,Trypanosoma species research and implications
i|d|carneiro ferreira,Deusmaque Carneiro Ferreira,52,-0.0206,-0.478,41,0.0019,2,Materials Chemistry,Metal complexes synthesis and properties
i|l|jorge patrizzi,Lislei Jorge Patrizzi,48,0.3888,-0.4448,48,0.0055,6,Neurology,Stroke Rehabilitation and Recovery
f|karina|pereira,Karina Pereira,39,0.6417,-0.4478,24,0.0032,6,Neurology,Stroke Rehabilitation and Recovery
i|j|cesar de souza inacio goncalves,Júlio César de Souza Inácio Gonçalves,41,-0.0822,-0.4763,36,0.041,2,Materials Chemistry,Metal complexes synthesis and properties
i|h|hemiko iwamoto,Helena Hemiko Iwamoto,38,-0.3864,-0.1318,53,0.0225,5,General Health Professions,"Health, Nursing, Elderly Care"
i|a|christian ribeiro andaki,Alynne Christian Ribeiro Andaki,54,0.2221,0.8303,41,0.0005,7,Physiology,Physical Activity and Health
i|j|emilio lazo chica,Javier Emílio Lazo Chica,48,0.2195,0.1701,78,0.0472,1,Epidemiology,Trypanosoma species research and implications
i|k|graciele dos santos,Kássia Graciele dos Santos,63,-0.6283,0.2415,3,0.0,2,Materials Chemistry,Metal complexes synthesis and properties
i|p|i s maia,Pedro I. S. Maia,65,0.4467,-0.3386,11,0.0105,2,Materials Chemistry,Metal complexes synthesis and properties
i|s|regina ribeiro chavaglia,Suzel Regina Ribeiro Chaváglia,69,-0.6502,-0.0511,69,0.0038,0,General Health Professions,"Health, Nursing, Elderly Care"
i|m|hitomi okura,Mônica Hitomi Okura,40,0.1192,-1.0,29,0.0144,2,Materials Chemistry,Metal complexes synthesis and properties
i|l|ronan marquez ferreira de souza,Luís Ronan Marquez Ferreira de Souza,41,0.2376,-0.0389,20,0.0195,3,Epidemiology,Cervical Cancer and HPV Research
i|a|borges peixoto,Alberto Borges Peixoto,90,0.1204,-0.3635,9,0.0,0,General Health Professions,"Health, Nursing, Elderly Care"
i|j|reis machado,Juliana Reis Machado,104,0.1891,0.1554,268,0.0275,1,Epidemiology,Trypanosoma species research and implications
i|f|carolina camargo,Fernanda Carolina Camargo,77,-0.2727,-0.1303,82,0.0226,5,General Health Professions,"Health, Nursing, Elderly Care"
f|acdm|carneiro,ACDM Carneiro,41,-0.2562,0.5226,84,0.0,5,General Health Professions,"Health, Nursing, Elderly Care"
i|r|vicente ferreira,Ricardo Vicente Ferreira,39,-0.173,-0.6714,6,0.0,8,General Health Professions,"Health, Nursing, Elderly Care"
f|divanice|contim,Divanice Contim,112,-0.4656,-0.0355,181,0.0401,0,General Health Professions,"Health, Nursing, Elderly Care"
i|r|s silva,Ricardo S. Silva,42,0.2077,0.6768,2,0.0,2,Materials Chemistry,Metal complexes synthesis and properties
i|m|falangola accioly,Marilita Falângola Accioly,38,0.2439,-0.307,19,0.0415,6,Neurology,Stroke Rehabilitation and Recovery
i|l|eduardo ramırez,Luı́s Eduardo Ramı́rez,43,0.1048,0.4583,87,0.0046,4,Epidemiology,Trypanosoma species research and implications
i|a|de paula rogerio,Alexandre de Paula Rogério,43,0.3538,0.2838,33,0.0309,1,Epidemiology,Trypanosoma species research and implications
i|l|aparecida kauchakje pedrosa,Leila  Aparecida Kauchakje Pedrosa,36,-0.8619,-0.0016,9,0.0002,0,General Health Professions,"Health, Nursing, Elderly Care"
i|g|vannucchi portari,Guilherme Vannucchi Portari,39,0.421,0.3974,17,0.0,3,Epidemiology,Cervical Cancer and HPV Research
i|v|de paula antunes teixeira,Vicente de Paula Antunes Teixeira,126,0.3144,0.0257,214,0.0315,1,Epidemiology,Trypanosoma species research and implications
i|k|ferreira paim,Kennio Ferreira‐Paim,38,0.1382,0.3901,76,0.0038,4,Epidemiology,Trypanosoma species research and implications
i|c|lourencini cavellani,Camila Lourencini Cavellani,46,0.307,-0.0603,100,0.0311,1,Epidemiology,Trypanosoma species research and implications
i|s|gomes novais shimano,Suraya Gomes Novais Shimano,37,0.5636,-0.5042,40,0.0076,6,Neurology,Stroke Rehabilitation and Recovery
i|e|lacerda mendes,Edmar Lacerda Mendes,90,0.1514,0.6881,67,0.0212,7,Physiology,Physical Activity and Health
i|a|bernadete trovo de marqui,Alessandra Bernadete Trovó de Marqui,58,-0.5756,-0.3959,29,0.001,9,Reproductive Medicine,Endometriosis Research and Treatment
i|d|ferreira da cunha,Daniel Ferreira da Cunha,42,-0.0633,0.1705,31,0.0144,0,General Health Professions,"Health, Nursing, Elderly Care"
i|m|torreglosa ruiz cintra,Mariângela Torreglosa Ruiz-Cintra,32,-0.6516,-0.6258,19,0.0,9,Reproductive Medicine,Endometriosis Research and Treatment
i|s|de castro soares,Siomar de Castro Soares,121,0.2541,0.1742,65,0.0029,1,Epidemiology,Trypanosoma species research and implications
i|d|ferreira moreira lobato,Daniel Ferreira Moreira Lobato,34,0.7744,-0.5032,13,0.0036,6,Neurology,Stroke Rehabilitation and Recovery
f|regina|simoes,Regina Simões,34,0.8889,-0.568,15,0.0,13,Education,Physical Education and Sports Studies
i|e|fernando candido murta,Eddie Fernando Cândido Murta,168,0.3229,0.2408,195,0.0091,3,Epidemiology,Cervical Cancer and HPV Research
i|m|de fatima borges,Maria de Fátima Borges,65,-0.2002,0.1394,32,0.063,9,Reproductive Medicine,Endometriosis Research and Treatment
i|m|carvalho paschoini,Marina Carvalho Paschoini,36,-0.1293,-0.0537,57,0.0875,0,General Health Professions,"Health, Nursing, Elderly Care"
i|a|lucia de assis simoes,Ana Lúcia de Assis Simões,40,-0.5881,-0.2875,30,0.0099,0,General Health Professions,"Health, Nursing, Elderly Care"
i|s|riul da silva,Sueli Riul da Silva,66,-0.4209,-0.2309,50,0.0368,0,General Health Professions,"Health, Nursing, Elderly Care"
i|g|jose luvizutto,Gustavo José Luvizutto,116,0.785,-0.2328,50,0.0,6,Neurology,Stroke Rehabilitation and Recovery
i|m|antonia dos reis,Marlene Antônia dos Reis,178,0.2489,0.116,306,0.0378,1,Epidemiology,Trypanosoma species research and implications
i|i|aparecida porcatti de walsh,Isabel Aparecida Porcatti de Walsh,72,0.3135,-0.3196,76,0.0104,6,Neurology,Stroke Rehabilitation and Recovery
i|m|pereira rezende,Marina Pereira Rezende,34,-0.4094,-0.3321,40,0.0165,0,General Health Professions,"Health, Nursing, Elderly Care"
i|d|mara dos santos tavares,Darlene Mara dos Santos Tavares,196,-0.2562,-0.2202,187,0.039,8,General Health Professions,"Health, Nursing, Elderly Care"
i|m|marques dos santos felix,Márcia Marques dos Santos Félix,42,-0.7137,0.0047,74,0.0,0,General Health Professions,"Health, Nursing, Elderly Care"
i|g|ribeiro da mota,Gustavo Ribeiro da Mota,156,0.2755,0.6167,53,0.0044,7,Physiology,Physical Activity and Health
i|o|barbosa neto,Octávio Barbosa Neto,38,0.2684,0.5447,39,0.042,7,Physiology,Physical Activity and Health
i|w|wey moreira,Wagner Wey Moreira,65,0.9666,-0.4986,15,0.0,13,Education,Physical Education and Sports Studies
i|s|elaine malaguti toffano,Silmara Elaine Malaguti Toffano,46,-0.8043,-0.132,26,0.0028,0,General Health Professions,"Health, Nursing, Elderly Care"
f|fb|vito,FB Vito,52,-0.2985,0.5349,89,0.0,5,General Health Professions,"Health, Nursing, Elderly Care"
i|c|bosquiero papini,Camila Bosquiero Papini,38,0.3268,0.7565,11,0.0144,7,Physiology,Physical Activity and Health
i|m|helena barbosa,Maria Helena Barbosa,157,-0.6098,-0.0083,182,0.0002,0,General Health Professions,"Health, Nursing, Elderly Care"
i|f|rodrigues helmo,Fernanda Rodrígues Helmo,35,0.0465,0.0708,124,0.0277,1,Epidemiology,Trypanosoma species research and implications
i|k|goncalves do nascimento,Kleiton Gonçalves do Nascimento,32,-0.7872,0.0195,34,0.003,0,General Health Professions,"Health, Nursing, Elderly Care"
i|a|paula espindula,Ana Paula Espíndula,74,0.3857,-0.0434,87,0.0291,1,Epidemiology,Trypanosoma species research and implications
i|m|vinicius campos souza,Markus Vinícius Campos Souza,34,0.4148,0.1763,37,0.0144,3,Epidemiology,Cervical Cancer and HPV Research
f|elizabeth|barichello,Elizabeth Barichello,93,-0.5799,0.0226,140,0.0134,0,General Health Professions,"Health, Nursing, Elderly Care"
i|j|bonolo do amaral rocha,Jesislei Bonolo do Amaral Rocha,36,-0.5529,-0.0877,77,0.0053,0,General Health Professions,"Health, Nursing, Elderly Care"
