source,issn,n,classe,sinais_curadoria,doaj,scimago,qualis_estilo,apc,retratacoes,citacao_media
Revista Brasileira de Hematologia e Hemoterapia,15168484,41,Indexada,2,True,False,True,False,0,14.7
Bioscience Journal,15163725,40,Indexada,3,True,True,True,True,0,2.5
Journal of Coloproctology,22379363,39,Indexada,3,True,True,True,False,0,0.3
Journal of High Energy Physics,10298479,39,Indexada,3,True,True,True,True,0,24.6
Cadernos Brasileiros de Terapia Ocupacional ,01044931,38,Indexada,1,True,False,False,True,0,5.9
Radiologia Brasileira,01003984,38,Indexada,2,False,True,True,False,0,6.7
Arquivos de Neuro-Psiquiatria,0004282X,35,Indexada,3,True,True,True,True,0,13.7
Escola Anna Nery,14148145,33,Indexada,2,True,False,True,True,0,15.3
Fisioterapia em Movimento,01035150,32,Indexada,1,True,False,False,True,0,9.3
Motriz Revista de Educação Física,14159805,30,Indexada,3,True,True,True,True,0,7.2
Revista do Instituto de Medicina Tropical de São Paulo,00364665,30,Indexada,3,True,True,True,False,0,21.3
Journal of Bodywork and Movement Therapies,13608592,29,Indexada,2,False,True,True,True,0,7.4
Medicina (Ribeirão Preto),00766046,29,Indexada,3,True,True,True,False,0,4.5
Revista de Terapia Ocupacional da Universidade de São Paulo,14159104,29,Indexada,1,True,False,False,False,0,4.6
Memórias do Instituto Oswaldo Cruz,00740276,28,Indexada,3,True,True,True,False,0,65.8
Sao Paulo Medical Journal,00350362,28,Indexada,1,True,False,False,False,0,18.3
Brazilian Journal of Physical Therapy,14133555,27,Indexada,2,False,True,True,True,0,6.9
Fisioterapia e Pesquisa,18092950,27,Indexada,1,True,False,False,False,0,7.4
Cogitare Enfermagem,14148536,26,Indexada,3,True,True,True,True,0,4.7
Revista de Pesquisa Cuidado é Fundamental Online,18096107,26,Indexada,1,True,False,False,False,0,2.6
The Brazilian Journal of Infectious Diseases,14138670,26,Indexada,3,True,True,True,True,0,1.7
International Journal of Environmental Research and Public Health,16604601,24,Indexada,2,False,True,True,True,0,14.0
Brazilian Journal of Kinanthropometry and Human Performance,14158426,22,Indexada,3,True,True,True,False,0,5.5
Revista Brasileira de Reumatologia,04825004,22,Indexada,2,True,False,True,True,0,7.3
Acta Cirúrgica Brasileira,01028650,21,Indexada,3,True,True,True,True,0,13.9
Cadernos de Saúde Pública,0102311X,21,Indexada,3,True,True,True,False,0,12.4
Revista Brasileira de Geriatria e Gerontologia,18099823,21,Indexada,1,True,False,False,True,0,7.3
The Journal of Strength and Conditioning Research,10648011,21,Indexada,2,False,True,True,False,0,32.5
Archives of Gynecology and Obstetrics,00039128,20,Indexada,1,True,False,False,True,0,23.5
Mediators of Inflammation,09629351,20,Indexada,3,True,True,True,True,0,33.0
Annals of Diagnostic Pathology,10929134,19,Indexada,2,False,True,True,True,0,9.4
Arquivos Brasileiros de Endocrinologia & Metabologia,00042730,19,Indexada,1,False,False,True,False,0,5.2
Cadernos CIMEAC,21789770,19,Indexada,1,True,False,False,False,0,1.2
Clinics,18075932,19,Indexada,3,True,True,True,True,0,18.7
Revista Brasileira de Ortopedia,01023616,19,Indexada,3,True,True,True,False,0,3.5
ACS Omega,24701343,18,Indexada,3,True,True,True,True,0,1.4
Acta Ortopédica Brasileira,14137852,18,Indexada,3,True,True,True,True,0,5.9
Psicologia Ciência e Profissão,14149893,18,Indexada,1,True,False,False,False,0,5.2
Revista Brasileira de Medicina do Esporte,15178692,18,Indexada,1,False,False,True,False,0,4.2
Scientific Reports,20452322,18,Indexada,3,True,True,True,True,0,11.7
Brazilian Journal of Medical and Biological Research,0100879X,17,Indexada,3,True,True,True,True,0,17.5
Cretaceous Research,01956671,17,Indexada,2,False,True,True,True,0,18.1
Enfermería Global,16956141,17,Indexada,3,True,True,True,False,0,5.0
Pathology - Research and Practice,03440338,17,Indexada,2,False,True,True,True,0,13.1
Pensar a Prática,14154676,17,Indexada,1,True,False,False,False,0,2.3
Renewable Energy and Power Quality Journal,2172038X,17,Indexada,1,False,False,True,False,0,0.8
Revista Brasileira de Saúde Materno Infantil,15193829,17,Indexada,3,True,True,True,False,0,4.4
Anais da Academia Brasileira de Ciências,00013765,16,Indexada,3,True,True,True,False,0,4.4
Psico-USF,14138271,16,Indexada,1,True,False,False,False,0,12.4
Revista Virtual de Química,19846835,16,Indexada,2,False,True,True,False,0,3.8
Revista de Patologia Tropical / Journal of Tropical Pathology,03010406,16,Indexada,2,False,True,True,False,0,2.9
Zootaxa,11755326,16,Indexada,2,False,True,True,False,0,8.6
American Journal of Tropical Medicine and Hygiene,00029637,15,Indexada,2,False,True,True,False,0,34.3
Arquivos Brasileiros de Cardiologia,0066782X,15,Indexada,3,True,True,True,False,0,8.8
Autonomic Neuroscience,15660702,15,Indexada,2,False,True,True,True,0,11.9
O Mundo da Saúde,01047809,15,Indexada,3,True,True,True,False,0,2.6
Psicologia em Estudo,14137372,15,Indexada,3,True,True,True,False,0,4.8
